Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (0s) Current status: PENDING                                                                                      Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r3aa3562f34d9750c_0000019dd4a789e1_1 ... (1s) Current status: DONE   
dim,driver,val,p,d,s
O,PCF Vendedor Meli Pro,CTX,1,0,1
O,PCF Vendedor Meli Pro,KTA_BRASIL,1,0,1
C,PCF Vendedor Seller Dev,MULTICANAL CHAT,69,18,100
C,PCF Vendedor Seller Dev,MULTICANAL C2C,23,9,33
C,PCF Vendedor Seller Dev,OFFLINE,1,1,2
C,PCF Vendedor Seller Dev,(sem canal),1,0,1
C,PCF Vendedor Seller Dev,CHAT,1,0,1
O,PCF Vendedor Seller Dev,ATE,46,10,65
O,PCF Vendedor Seller Dev,AEC,20,7,30
O,PCF Vendedor Seller Dev,KTA_BRASIL,13,7,21
O,PCF Vendedor Seller Dev,CTX,5,2,8
O,PCF Vendedor Seller Dev,MELICIDADE,10,2,12
O,PCF Vendedor Seller Dev,(sem office),1,0,1
C,PDD DS&XD - Vendedor,OFFLINE,91,72,170
C,PDD DS&XD - Vendedor,(sem canal),26,24,59
C,PDD DS&XD - Vendedor,MULTICANAL CHAT,18,9,30
C,PDD DS&XD - Vendedor,MULTICANAL C2C,0,2,2
O,PDD DS&XD - Vendedor,ATE,47,45,97
O,PDD DS&XD - Vendedor,AEC,46,27,77
O,PDD DS&XD - Vendedor,(sem office),26,24,59
O,PDD DS&XD - Vendedor,KTA_BRASIL,12,8,21
O,PDD DS&XD - Vendedor,MELICIDADE,3,3,6
O,PDD DS&XD - Vendedor,AGUADA_PARK,1,0,1
C,PDD FBM - Vendedor,OFFLINE,20,15,39
C,PDD FBM - Vendedor,(sem canal),13,9,24
C,PDD FBM - Vendedor,MULTICANAL CHAT,5,1,9
O,PDD FBM - Vendedor,(sem office),13,9,24
O,PDD FBM - Vendedor,AEC,14,9,24
O,PDD FBM - Vendedor,ONELINK_BOGOTA,3,4,8
O,PDD FBM - Vendedor,ATE,5,2,11
O,PDD FBM - Vendedor,KTA_BRASIL,2,1,3
O,PDD FBM - Vendedor,MELICIDADE,1,0,2
C,PDD Fotos - Vendedor,OFFLINE,6,8,14
C,PDD Fotos - Vendedor,(sem canal),2,0,3
O,PDD Fotos - Vendedor,ONELINK_BOGOTA,6,6,12
O,PDD Fotos - Vendedor,ATE,0,1,1
O,PDD Fotos - Vendedor,AEC,0,1,1
O,PDD Fotos - Vendedor,(sem office),2,0,3
C,"PDD MP,FLEX & CBT - Vendedor",OFFLINE,12,10,26
C,"PDD MP,FLEX & CBT - Vendedor",(sem canal),7,1,10
C,"PDD MP,FLEX & CBT - Vendedor",MULTICANAL CHAT,2,0,3
O,"PDD MP,FLEX & CBT - Vendedor",ATE,10,6,21
O,"PDD MP,FLEX & CBT - Vendedor",AEC,1,3,4
O,"PDD MP,FLEX & CBT - Vendedor",(sem office),7,1,10
O,"PDD MP,FLEX & CBT - Vendedor",KTA_BRASIL,1,1,2
O,"PDD MP,FLEX & CBT - Vendedor",ONELINK_BOGOTA,1,0,1
O,"PDD MP,FLEX & CBT - Vendedor",AGUADA_PARK,1,0,1
C,PNR ME - Vendedor,OFFLINE,16,7,26
C,PNR ME - Vendedor,MULTICANAL CHAT,4,3,8
C,PNR ME - Vendedor,(sem canal),3,0,3
O,PNR ME - Vendedor,ATE,9,5,16
O,PNR ME - Vendedor,AEC,6,3,10
O,PNR ME - Vendedor,MELICIDADE,5,2,8
O,PNR ME - Vendedor,(sem office),3,0,3
C,PNR MP - Vendedor,OFFLINE,14,7,22
C,PNR MP - Vendedor,(sem canal),16,5,24
C,PNR MP - Vendedor,MULTICANAL CHAT,2,1,3
O,PNR MP - Vendedor,(sem office),16,5,24
O,PNR MP - Vendedor,ATE,8,4,13
O,PNR MP - Vendedor,AEC,6,3,9
O,PNR MP - Vendedor,MELICIDADE,2,1,3
C,Partners,MULTICANAL CHAT,510,69,637
C,Partners,MULTICANAL C2C,61,16,83
C,Partners,CHAT,4,0,5
O,Partners,ATE,317,46,389
O,Partners,KTA_BRASIL,156,26,209
O,Partners,CTX,75,9,95
O,Partners,AEC,27,4,32
C,Post Venta Mature,MULTICANAL CHAT,65,11,85
C,Post Venta Mature,MULTICANAL C2C,11,0,12
O,Post Venta Mature,MELICIDADE,55,6,71
O,Post Venta Mature,AEC,11,2,13
O,Post Venta Mature,KTA_BRASIL,5,2,7
O,Post Venta Mature,ATE,4,1,5
O,Post Venta Mature,CTX,1,0,1
C,Post Venta Meli Pro,MULTICANAL CHAT,102,5,109
C,Post Venta Meli Pro,MULTICANAL C2C,2,0,3
O,Post Venta Meli Pro,MELICIDADE,96,5,104
O,Post Venta Meli Pro,AEC,5,0,5
O,Post Venta Meli Pro,KTA_BRASIL,1,0,1
O,Post Venta Meli Pro,ATE,2,0,2
C,Post Venta Seller Dev,MULTICANAL CHAT,133,15,162
C,Post Venta Seller Dev,MULTICANAL C2C,60,8,70
C,Post Venta Seller Dev,CHAT,1,0,1
O,Post Venta Seller Dev,AEC,67,10,79
O,Post Venta Seller Dev,KTA_BRASIL,55,6,64
O,Post Venta Seller Dev,ATE,48,5,61
O,Post Venta Seller Dev,CTX,24,2,29
C,Publicaciones Mature,MULTICANAL CHAT,34,13,52
C,Publicaciones Mature,MULTICANAL C2C,3,1,5
O,Publicaciones Mature,MELICIDADE,16,8,26
O,Publicaciones Mature,KTA_BRASIL,11,5,19
O,Publicaciones Mature,AEC,9,1,10
O,Publicaciones Mature,CTX,1,0,2
C,Publicaciones Meli Pro,MULTICANAL CHAT,37,3,43
C,Publicaciones Meli Pro,MULTICANAL C2C,0,1,1
O,Publicaciones Meli Pro,MELICIDADE,30,3,36
O,Publicaciones Meli Pro,AEC,2,1,3
O,Publicaciones Meli Pro,KTA_BRASIL,5,0,5
C,Publicaciones Seller Dev,MULTICANAL CHAT,404,51,503
C,Publicaciones Seller Dev,MULTICANAL C2C,49,29,83
C,Publicaciones Seller Dev,(sem canal),0,0,1
O,Publicaciones Seller Dev,AEC,294,38,363
O,Publicaciones Seller Dev,KTA_BRASIL,134,34,188
O,Publicaciones Seller Dev,CTX,23,8,33
O,Publicaciones Seller Dev,MELICIDADE,2,0,2
O,Publicaciones Seller Dev,(sem office),0,0,1
