driver,process,promoters,detractors,surveys
Experiencia Impositiva Mature,Emision de Nota Fiscal,11,3,16
Experiencia Impositiva Mature,Facturación,3,1,4
Experiencia Impositiva Mature,Datos fiscales,1,0,2
Experiencia Impositiva Meli Pro,Facturación,2,0,3
Experiencia Impositiva Meli Pro,Emision de Nota Fiscal,1,0,1
Experiencia Impositiva Seller Dev,Emision de Nota Fiscal,106,24,142
Experiencia Impositiva Seller Dev,Facturación,45,16,66
Experiencia Impositiva Seller Dev,Datos fiscales,12,5,19
FBM-S Mature,FBM - Pre Inbound,17,4,24
FBM-S Mature,FBM - Inventario,9,5,16
FBM-S Mature,FBM - Retiro de Stock - Cx One,8,2,10
FBM-S Mature,FBM - Post Inbound,6,4,10
FBM-S Mature,FBM - Devoluciones,2,0,2
FBM-S Mature,FBM - Funcionalidades,1,0,1
FBM-S Meli Pro,FBM - Pre Inbound,3,0,3
FBM-S Meli Pro,FBM - Inventario,2,1,3
FBM-S Meli Pro,FBM - Devoluciones,2,0,2
FBM-S Meli Pro,FBM - Funcionalidades,1,0,1
FBM-S Seller Dev,FBM - Pre Inbound,42,17,65
FBM-S Seller Dev,FBM - Inventario,20,9,33
FBM-S Seller Dev,FBM - Post Inbound,22,7,32
FBM-S Seller Dev,FBM - Retiro de Stock - Cx One,11,0,15
FBM-S Seller Dev,FBM - Funcionalidades,11,1,12
FBM-S Seller Dev,FBM - Devoluciones,3,2,6
FBM-S Seller Dev,Asignación del Contáctanos FBM,1,0,1
ME Vendedor Mature,Reputación ME,220,32,264
ME Vendedor Mature,Despacho Ventas y Publicaciones,132,28,174
ME Vendedor Mature,Reversa,74,8,90
ME Vendedor Mature,Gestiones Operativas,50,8,66
ME Vendedor Mature,Viaje del paquete - Vendedor,24,4,34
ME Vendedor Mature,Viaje del paquete - Comprador,2,2,4
ME Vendedor Mature,Suspensiones ME,0,2,2
ME Vendedor Meli Pro,Reputación ME,10,1,11
ME Vendedor Meli Pro,Despacho Ventas y Publicaciones,8,1,9
ME Vendedor Meli Pro,Reversa,2,3,5
ME Vendedor Meli Pro,Gestiones Operativas,2,1,3
ME Vendedor Meli Pro,Viaje del paquete - Vendedor,2,0,2
ME Vendedor Seller Dev,Despacho Ventas y Publicaciones,852,174,1140
ME Vendedor Seller Dev,Reputación ME,772,54,886
ME Vendedor Seller Dev,Gestiones Operativas,128,16,168
ME Vendedor Seller Dev,Reversa,124,16,160
ME Vendedor Seller Dev,Viaje del paquete - Vendedor,62,14,92
ME Vendedor Seller Dev,Suspensiones ME,2,0,2
Otros CV,KYC Services,122,4,137
Otros CV,Viaje del paquete - Comprador,24,6,31
Otros CV,Apelaciones retorno buyer XDDS,7,19,27
Otros CV,Costos de envío - Comprador,8,2,13
Otros CV,Caja vacía - Flex,6,5,12
Otros CV,Problemas de seguridad,3,4,8
Otros CV,Asignación del contáctanos Buyers Post,7,1,8
Otros CV,Reputación ME Masivos,2,3,6
Otros CV,Transferencias de dinero,3,2,6
Otros CV,Problemas con acceso y factores,4,1,5
Otros CV,Apelaciones buyer XDDS,2,3,5
Otros CV,CBT - Prohibited technique,4,0,4
Otros CV,Viaje del paquete - Vendedor,0,2,3
Otros CV,Funcionalidades de tarjetas de Crédito,2,1,3
Otros CV,Tarjetas de crédito - Solicitud y Límites,2,1,3
Otros CV,KYC seg360,2,0,3
Otros CV,Configuración de la cuenta,2,0,3
Otros CV,CBT - Prohibited items,1,1,3
Otros CV,CBT - Intellectual Property,3,0,3
Otros CV,Despacho Ventas y Publicaciones Masivos,2,1,3
Otros CV,Guardia Urbana,2,0,2
Otros CV,Reputación ML Masivos,2,0,2
Otros CV,Funcionalidades generales de MP - Payers,1,1,2
Otros CV,Posterior a la Entrega,2,0,2
Otros CV,Caja vacía - MP,1,0,2
Otros CV,Restricciones,1,1,2
Otros CV,Gestiones Operativas,1,0,1
Otros CV,Relaciones entre cuentas,1,0,1
Otros CV,Funcionalidades generales MP - Sellers,0,1,1
Otros CV,CBT - Photo quality,1,0,1
Otros CV,Post Compra Funcionalidades Comprador,1,0,1
Otros CV,Asignación del contáctanos Mature Ventas,0,0,1
Otros CV,Potenciar Ventas,1,0,1
Otros CV,Point - Como adquirir dispositivo,1,0,1
Otros CV,Marketplace Kangu,0,1,1
Otros CV,Gestión de Publicación,0,1,1
Otros CV,Problemas con pagos - Cards,0,1,1
Otros CV,Post Compra Funcionalidades CBT,1,0,1
Otros CV,PF - PNR-C - Vendedor,0,1,1
Otros CV,Funcionalidades de tarjetas de débito,1,0,1
Otros CV,Asignación del Contactanos Cuenta Marketplace,1,0,1
Otros CV,Seguros transaccional - Payers,0,1,1
Otros CV,Reembolso de la compra MP,1,0,1
Otros CV,Funcionalidades de Seguros - Payers,1,0,1
Otros CV,Consumer Credits - Solicitud y Límites,0,1,1
Otros CV,Cancelación de cuenta,0,1,1
Otros CV,Portabilidade salarial,1,0,1
Otros CV,Consumer Credits,1,0,1
Otros CV,Point - Logística,1,0,1
Otros CV,Financiamiento de vehículos - Prendarios,1,0,1
Otros CV,Acreditación de Pagos - Payers,1,0,1
Otros CV,Chargeback Comprador,0,1,1
Otros CV,CDB Investments,1,0,1
Otros CV,Post_Compra_Funcionalidades_MP_Comprador,0,1,1
Otros CV,Extractos y Reportes,1,0,1
PCF Vendedor Mature,Post Compra Funcionalidades Vendedor,123,30,165
PCF Vendedor Meli Pro,Post Compra Funcionalidades Vendedor,12,3,18
PCF Vendedor Seller Dev,Post Compra Funcionalidades Vendedor,118,27,162
Partners,Drivers,440,73,573
Partners,Places Kangu,153,25,192
Post Venta Mature,Reputación,119,26,158
Post Venta Mature,Anulación de Venta,1,2,3
Post Venta Meli Pro,Reputación,25,2,30
Post Venta Meli Pro,Anulación de Venta,1,0,1
Post Venta Seller Dev,Reputación,259,51,338
Post Venta Seller Dev,Anulación de Venta,12,3,16
Publicaciones Mature,PR - Técnica prohibida,25,3,33
Publicaciones Mature,Gestión de Publicación,19,3,29
Publicaciones Mature,PR - Propiedad intelectual,14,2,21
Publicaciones Mature,Potenciar Ventas,10,4,18
Publicaciones Mature,PR - Artículos prohibidos,10,3,14
Publicaciones Mature,Calidad de foto,5,0,5
Publicaciones Mature,PR - Datos Personales,3,1,5
Publicaciones Mature,Antes de publicar,2,1,4
Publicaciones Mature,Denuncia de usuario,2,0,2
Publicaciones Meli Pro,PR - Técnica prohibida,1,1,3
Publicaciones Meli Pro,Gestión de Publicación,2,0,2
Publicaciones Meli Pro,Calidad de foto,1,0,1
Publicaciones Meli Pro,PR - Propiedad intelectual,1,0,1
Publicaciones Meli Pro,Antes de publicar,1,0,1
Publicaciones Meli Pro,Asignación del Contáctanos - Prustomer,1,0,1
Publicaciones Seller Dev,Afiliados ML,343,47,429
Publicaciones Seller Dev,Gestión de Publicación,73,11,92
Publicaciones Seller Dev,PR - Técnica prohibida,75,9,90
Publicaciones Seller Dev,PR - Propiedad intelectual,58,16,76
Publicaciones Seller Dev,Potenciar Ventas,47,12,69
Publicaciones Seller Dev,Antes de publicar,47,4,60
Publicaciones Seller Dev,PR - Artículos prohibidos,36,10,48
Publicaciones Seller Dev,Denuncia de usuario,24,3,30
Publicaciones Seller Dev,Calidad de foto,6,3,10
Publicaciones Seller Dev,PR - Datos Personales,3,4,7
