Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (5s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (6s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (7s) Current status: RUNNING                                                                                      Waiting on bqjob_r5e752c8d41e4766e_0000019dd4a6df4c_1 ... (7s) Current status: DONE   
dim,driver,val,p,d,s
C,PCF Vendedor Mature,MULTICANAL C2C,42,14,63
O,PCF Vendedor Mature,MELICIDADE,201,47,273
O,PCF Vendedor Mature,ATE,69,18,99
O,PCF Vendedor Mature,AEC,48,11,68
O,PCF Vendedor Mature,KTA_BRASIL,7,5,14
O,PCF Vendedor Mature,CTX,7,4,13
C,PCF Vendedor Meli Pro,MULTICANAL CHAT,20,7,31
C,PCF Vendedor Meli Pro,MULTICANAL C2C,12,1,13
O,PCF Vendedor Meli Pro,MELICIDADE,25,6,34
O,PCF Vendedor Meli Pro,KTA_BRASIL,0,1,1
O,PCF Vendedor Meli Pro,ATE,6,1,8
O,PCF Vendedor Meli Pro,AEC,1,0,1
C,PCF Vendedor Seller Dev,MULTICANAL CHAT,405,107,576
C,PCF Vendedor Seller Dev,MULTICANAL C2C,130,57,210
C,PCF Vendedor Seller Dev,(sem canal),0,1,1
C,PCF Vendedor Seller Dev,CHAT,0,1,1
C,PCF Vendedor Seller Dev,OFFLINE,1,0,2
O,PCF Vendedor Seller Dev,ATE,195,67,305
O,PCF Vendedor Seller Dev,AEC,177,40,242
O,PCF Vendedor Seller Dev,KTA_BRASIL,55,22,79
O,PCF Vendedor Seller Dev,CTX,49,20,77
O,PCF Vendedor Seller Dev,MELICIDADE,60,16,86
O,PCF Vendedor Seller Dev,(sem office),0,1,1
C,PDD DS&XD - Vendedor,OFFLINE,250,227,546
C,PDD DS&XD - Vendedor,(sem canal),204,167,409
C,PDD DS&XD - Vendedor,MULTICANAL CHAT,182,90,313
C,PDD DS&XD - Vendedor,MULTICANAL C2C,5,1,7
C,PDD DS&XD - Vendedor,CHAT,4,1,5
O,PDD DS&XD - Vendedor,(sem office),204,167,409
O,PDD DS&XD - Vendedor,AEC,238,151,435
O,PDD DS&XD - Vendedor,ATE,168,139,356
O,PDD DS&XD - Vendedor,KTA_BRASIL,19,20,47
O,PDD DS&XD - Vendedor,MELICIDADE,12,8,26
O,PDD DS&XD - Vendedor,ONELINK_BOGOTA,2,1,3
O,PDD DS&XD - Vendedor,AGUADA_PARK,2,0,4
C,PDD FBM - Vendedor,OFFLINE,92,43,149
C,PDD FBM - Vendedor,(sem canal),63,32,104
C,PDD FBM - Vendedor,MULTICANAL CHAT,37,14,52
C,PDD FBM - Vendedor,CHAT,1,0,1
O,PDD FBM - Vendedor,(sem office),63,32,104
O,PDD FBM - Vendedor,ATE,53,26,86
O,PDD FBM - Vendedor,AEC,59,23,90
O,PDD FBM - Vendedor,ONELINK_BOGOTA,12,5,17
O,PDD FBM - Vendedor,KTA_BRASIL,3,3,6
O,PDD FBM - Vendedor,MELICIDADE,3,0,3
C,PDD Fotos - Vendedor,OFFLINE,31,17,52
C,PDD Fotos - Vendedor,(sem canal),15,4,19
C,PDD Fotos - Vendedor,MULTICANAL CHAT,0,1,1
O,PDD Fotos - Vendedor,ONELINK_BOGOTA,29,17,50
O,PDD Fotos - Vendedor,(sem office),15,4,19
O,PDD Fotos - Vendedor,AEC,1,1,2
O,PDD Fotos - Vendedor,ATE,1,0,1
C,"PDD MP,FLEX & CBT - Vendedor",OFFLINE,57,43,116
C,"PDD MP,FLEX & CBT - Vendedor",MULTICANAL CHAT,11,9,20
C,"PDD MP,FLEX & CBT - Vendedor",(sem canal),18,6,29
C,"PDD MP,FLEX & CBT - Vendedor",MULTICANAL C2C,1,0,1
O,"PDD MP,FLEX & CBT - Vendedor",ATE,61,46,119
O,"PDD MP,FLEX & CBT - Vendedor",(sem office),18,6,29
O,"PDD MP,FLEX & CBT - Vendedor",KTA_BRASIL,2,2,5
O,"PDD MP,FLEX & CBT - Vendedor",MELICIDADE,0,2,2
O,"PDD MP,FLEX & CBT - Vendedor",AEC,5,2,10
O,"PDD MP,FLEX & CBT - Vendedor",ONELINK_BOGOTA,1,0,1
C,PNR ME - Vendedor,OFFLINE,57,39,108
C,PNR ME - Vendedor,MULTICANAL CHAT,22,15,41
C,PNR ME - Vendedor,(sem canal),21,10,34
C,PNR ME - Vendedor,MULTICANAL C2C,3,7,10
O,PNR ME - Vendedor,ATE,48,38,96
O,PNR ME - Vendedor,AEC,21,15,41
O,PNR ME - Vendedor,(sem office),21,10,34
O,PNR ME - Vendedor,MELICIDADE,13,8,22
C,PNR MP - Vendedor,(sem canal),80,39,133
C,PNR MP - Vendedor,OFFLINE,39,37,92
C,PNR MP - Vendedor,MULTICANAL CHAT,19,14,38
C,PNR MP - Vendedor,MULTICANAL C2C,2,0,3
O,PNR MP - Vendedor,(sem office),80,39,133
O,PNR MP - Vendedor,ATE,37,32,87
O,PNR MP - Vendedor,AEC,17,10,30
O,PNR MP - Vendedor,MELICIDADE,6,9,16
C,Partners,MULTICANAL CHAT,1899,239,2333
C,Partners,MULTICANAL C2C,326,97,468
C,Partners,(sem canal),0,1,2
C,Partners,CHAT,3,0,3
O,Partners,ATE,1400,193,1741
O,Partners,KTA_BRASIL,309,63,409
O,Partners,CTX,382,45,465
O,Partners,AEC,137,35,189
O,Partners,(sem office),0,1,2
C,Post Venta Mature,MULTICANAL CHAT,343,66,455
C,Post Venta Mature,MULTICANAL C2C,49,10,65
O,Post Venta Mature,MELICIDADE,291,48,375
O,Post Venta Mature,AEC,36,17,61
O,Post Venta Mature,ATE,38,5,49
O,Post Venta Mature,CTX,8,3,13
O,Post Venta Mature,KTA_BRASIL,19,3,22
C,Post Venta Meli Pro,MULTICANAL CHAT,59,9,68
C,Post Venta Meli Pro,MULTICANAL C2C,11,1,13
O,Post Venta Meli Pro,MELICIDADE,63,7,71
O,Post Venta Meli Pro,AEC,3,2,5
O,Post Venta Meli Pro,ATE,3,1,4
O,Post Venta Meli Pro,KTA_BRASIL,1,0,1
C,Post Venta Seller Dev,MULTICANAL CHAT,765,124,950
C,Post Venta Seller Dev,MULTICANAL C2C,163,53,234
C,Post Venta Seller Dev,(sem canal),0,1,1
C,Post Venta Seller Dev,OFFLINE,1,0,1
O,Post Venta Seller Dev,AEC,337,74,436
O,Post Venta Seller Dev,ATE,308,44,378
O,Post Venta Seller Dev,CTX,106,29,148
O,Post Venta Seller Dev,KTA_BRASIL,154,24,192
O,Post Venta Seller Dev,MELICIDADE,23,6,30
O,Post Venta Seller Dev,(sem office),0,1,1
O,Post Venta Seller Dev,ONELINK_MEDELLIN,1,0,1
C,Publicaciones Mature,MULTICANAL CHAT,246,44,326
C,Publicaciones Mature,MULTICANAL C2C,12,7,19
O,Publicaciones Mature,MELICIDADE,104,23,145
O,Publicaciones Mature,AEC,28,10,42
O,Publicaciones Mature,KTA_BRASIL,56,9,72
O,Publicaciones Mature,CTX,70,9,86
C,Publicaciones Meli Pro,MULTICANAL CHAT,15,4,20
C,Publicaciones Meli Pro,MULTICANAL C2C,3,3,6
O,Publicaciones Meli Pro,MELICIDADE,16,7,24
O,Publicaciones Meli Pro,KTA_BRASIL,1,0,1
O,Publicaciones Meli Pro,CTX,1,0,1
C,Publicaciones Seller Dev,MULTICANAL CHAT,2341,280,2878
C,Publicaciones Seller Dev,MULTICANAL C2C,297,89,424
C,Publicaciones Seller Dev,(sem canal),0,5,6
C,Publicaciones Seller Dev,OFFLINE,1,0,1
O,Publicaciones Seller Dev,AEC,1406,181,1746
O,Publicaciones Seller Dev,CTX,830,118,1023
O,Publicaciones Seller Dev,KTA_BRASIL,377,66,500
O,Publicaciones Seller Dev,(sem office),0,5,6
O,Publicaciones Seller Dev,MELICIDADE,25,4,33
O,Publicaciones Seller Dev,ONELINK_MEDELLIN,1,0,1
